ID,Material,Spec,Form,Condition,Thickness,Basis,Ftu_L,Ftu_LT,Ftu_ST,Fty_L,Fty_LT,Fty_ST,Fcy_L,Fcy_LT,Fcy_ST,Fsu LS,Fsu TS,Fsu SL,Fbru(ed=1.5)_L,Fbru(ed=1.5)_LT,Fbru(ed=1.5)_ST,Fbru(ed=2.0)_L,Fbru(ed=2.0)_LT,Fbru(ed=2.0)_ST,Fbry(ed=1.5)_L,Fbry(ed=1.5)_LT,Fbry(ed=1.5)_ST,Fbry(ed=2.0)_L,Fbry(ed=2.0)_LT,Fbry(ed=2.0)_ST,e_L,e_LT,e_ST,E_L Pri,E_LT Pri,E_ST Pri,E_L Sec,E_LT Sec,E_ST Sec,Ec_L Pri,Ec_LT Pri,Ec_ST Pri,Ec_L,Ec_LT,Ec_ST,G,v,density,Ref,Table,Material Desc,Form Desc
359,2024 Aluminum Alloy Drawn Tubing,WW-T-700/3,Drawn Tubing,T42,.018-.500,S,62, , ,38, , ,38, , ,38, , ,93, , ,118, , ,53, , ,61, , ,,,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 g),2000 Series Wrought Aluminum Alloy,2024 Aluminum Alloy Drawn Tubing T42 .018-.500
360,2024 Aluminum Alloy Drawn Tubing,WW-T-700/3,Drawn Tubing,T81,.010-.249,S,66, , ,58, , , , , , , , , , , , , , , , , , , , ,,,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 g),2000 Series Wrought Aluminum Alloy,2024 Aluminum Alloy Drawn Tubing T81 .010-.249
361,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T351,".500-1.000""",S,62,61, ,45,36, ,34,41, ,37, , ,90, , ,115, , ,63, , ,74, , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T351 .500-1.000"""
362,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T351,"1.001-2.000""",S,62,59, ,45,36, ,34,41, ,37, , ,90, , ,115, , ,63, , ,74, , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T351 1.001-2.000"""
363,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T351,"2.001-3.000""",S,62,57, ,45,36, ,34,41, ,37, , ,90, , ,115, , ,63, , ,74, , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T351 2.001-3.000"""
364,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T351,"3.001-4.000""",S,62,55, ,45,36, ,34,41, ,37, , ,90, , ,115, , ,63, , ,74, , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T351 3.001-4.000"""
365,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T351,"4.001-5.000""",S,62,54, ,45,36, ,34,41, ,37, , ,90, , ,115, , ,63, , ,74, , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T351 4.001-5.000"""
366,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T351,"5.001-6.000""",S,62,52, ,45,36, ,34,41, ,37, , ,90, , ,115, , ,63, , ,74, , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T351 5.001-6.000"""
367,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T351,"6.001-6.500""",S,62, , ,45, , , , , , , , , , , , , , , , , , , , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T351 6.001-6.500"""
368,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished",QQ-A-225/6,"Bar and rod; rolled, drawn, or cold-finished",T361,"<=.375""",S,69, , ,52, , , , , , , , , , , , , , , , , , , , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T361 <=.375"""
369,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T4,".125-.499""",S,62,61, ,45,45, ,36, , ,37, , ,93, , ,118, , ,63, , ,72, , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T4 .125-.499"""
370,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T4,".500-1.000""",S,62,61, ,42,42, ,33, , ,37, , ,93, , ,118, , ,59, , ,67, , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T4 .500-1.000"""
371,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T4,"1.001-2.000""",S,62,59, ,42,41, ,33, , ,37, , ,93, , ,118, , ,59, , ,67, , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T4 1.001-2.000"""
372,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T4,"2.001-3.000""",S,62,57, ,42,40, ,33, , ,37, , ,93, , ,118, , ,59, , ,67, , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T4 2.001-3.000"""
373,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T4,"3.001-4.000""",S,62,55, ,42,39, ,33, , ,37, , ,93, , ,118, , ,59, , ,67, , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T4 3.001-4.000"""
374,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T4,"4.001-4.500""",S,62,54, ,42,39, ,33, , ,37, , ,93, , ,118, , ,59, , ,67, , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T4 4.001-4.500"""
375,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T4,"4.501-5.000""",S,62,54, ,40,37, ,32, , ,37, , ,93, , ,118, , ,56, , ,64, , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T4 4.501-5.000"""
376,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T4,"5.001-6.000""",S,62,52, ,40,36, ,32, , ,37, , ,93, , ,118, , ,56, , ,64, , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T4 5.001-6.000"""
377,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T4,"6.001-6.500""",S,62, , ,40,, , , , ,37, , , , , , , , , , , , , , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T4 6.001-6.500"""
378,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished","AMS4120, QQ-A-225/6","Bar and rod; rolled, drawn, or cold-finished",T4,"6.501-8.000""",S,58, , ,38, , , , , , , , , , , , , , , , , , , , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T4 6.501-8.000"""
379,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished",AMS-QQ-A-225/6,"Bar and rod; rolled, drawn, or cold-finished",T42,"<=6.500""",S,62, , ,40, , , , , , , , , , , , , , , , , , , , ,,10,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T42 <=6.500"""
380,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished",AMS-QQ-A-225/6,"Bar and rod; rolled, drawn, or cold-finished",T6,"<=6.500""",S,62, , ,50, , , , , , , , , , , , , , , , , , , , ,,5,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i3),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T6 <=6.500"""
381,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished",AMS-QQ-A-225/6,"Bar and rod; rolled, drawn, or cold-finished",T62,"<=6.500""",S,60, , ,46, , , , , , , , , , , , , , , , , , , , ,,5,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i3),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T62 <=6.500"""
382,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished",AMS-QQ-A-225/6,"Bar and rod; rolled, drawn, or cold-finished",T851,".500-6.500""",S,66, , ,58, , , , , , , , , , , , , , , , , , , , ,,5,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-02,3.2.3.0 i3),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Bar and Rod; Rolled, Drawn, Cold Finished T851 .500-6.500"""
383,2024 Aluminum Alloy Extrusion,"AMS4152, AMS4164, AMS4165, AMS-QQ-A-200/3","Extruded bar, rod, and shapes","T3, T3510, T3511","<=.249""",A,57,54, ,42,37, ,34,41, ,29, , ,84, , ,108, , ,61, , ,71, , ,,12,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T3, T3510, T3511 <=.249"""
384,2024 Aluminum Alloy Extrusion,"AMS4152, AMS4164, AMS4165, QQ-A-200/3","Extruded bar, rod, and shapes","T3, T3510, T3511","<=0.249""",B,61,58, ,47,41, ,38,45, ,31, , ,90, , ,114, , ,68, , ,79, , ,,,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T3, T3510, T3511 <=0.249"""
385,2024 Aluminum Alloy Extrusion,"AMS4152, AMS4164, AMS4165, AMS-QQ-A-200/3","Extruded bar, rod, and shapes","T3, T3510, T3511",".250-.499""",A,60,56, ,44,38, ,37,41, ,31, , ,78, , ,98, , ,55, , ,67, , ,,12,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T3, T3510, T3511 .250-.499"""
386,2024 Aluminum Alloy Extrusion,"AMS4152, AMS4164, AMS4165, QQ-A-200/3","Extruded bar, rod, and shapes","T3, T3510, T3511",".250-.499""",B,62,57, ,47,40, ,39,44, ,32, , ,81, , ,101, , ,59, , ,71, , ,,,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T3, T3510, T3511 .250-.499"""
387,2024 Aluminum Alloy Extrusion,"AMS4152, AMS4164, AMS4165, AMS-QQ-A-200/3","Extruded bar, rod, and shapes","T3, T3510, T3511",".500-.749""",A,60,54, ,44,37, ,38,40, ,30, , ,78, , ,97, , ,55, , ,67, , ,,12,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T3, T3510, T3511 .500-.749"""
388,2024 Aluminum Alloy Extrusion,"AMS4152, AMS4164, AMS4165, QQ-A-200/3","Extruded bar, rod, and shapes","T3, T3510, T3511",".500-.749""",B,62,56, ,47,39, ,40,43, ,31, , ,80, , ,101, , ,59, , ,71, , ,,,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T3, T3510, T3511 .500-.749"""
389,2024 Aluminum Alloy Extrusion,"AMS4152, AMS4164, AMS4165, AMS-QQ-A-200/3","Extruded bar, rod, and shapes","T3, T3510, T3511",".750-1.499""",A,65,56, ,46,37, ,41,40, ,33, , ,84, , ,105, , ,57, , ,69, , ,,10,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T3, T3510, T3511 .750-1.499"""
390,2024 Aluminum Alloy Extrusion,"AMS4152, AMS4164, AMS4165, QQ-A-200/3","Extruded bar, rod, and shapes","T3, T3510, T3511",".750-1.499""",B,70,60, ,54,43, ,48,47, ,35, , ,90, , ,113, , ,67, , ,81, , ,,,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T3, T3510, T3511 .750-1.499"""
391,2024 Aluminum Alloy Extrusion,"AMS4152, AMS4164, AMS4165, AMS-QQ-A-200/3","Extruded bar, rod, and shapes","T3, T3510, T3511","1.500-2.999""",A,70,55, ,52,39, ,49,42, ,34, , ,88, , ,111, , ,63, , ,77, , ,,10,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T3, T3510, T3511 1.500-2.999"""
392,2024 Aluminum Alloy Extrusion,"AMS4152, AMS4164, AMS4165, QQ-A-200/3","Extruded bar, rod, and shapes","T3, T3510, T3511","1.500-2.999""",B,74,58, ,54,41, ,50,44, ,36, , ,93, , ,118, , ,66, , ,80, , ,,,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T3, T3510, T3511 1.500-2.999"""
393,2024 Aluminum Alloy Extrusion,"AMS4152, AMS4164, AMS4165, AMS-QQ-A-200/3","Extruded bar, rod, and shapes","T3, T3510, T3511","3.000-4.499""",A,70,54, ,52,39, ,49,41, ,33, , ,86, , ,109, , ,62, , ,75, , ,,10,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T3, T3510, T3511 3.000-4.499"""
394,2024 Aluminum Alloy Extrusion,"AMS4152, AMS4164, AMS4165, QQ-A-200/3","Extruded bar, rod, and shapes","T3, T3510, T3511","3.000-4.499""",B,74,57, ,54,41, ,51,43, ,35, , ,91, , ,115, , ,65, , ,78, , ,,,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T3, T3510, T3511 3.000-4.499"""
395,2024 Aluminum Alloy Extrusion,"AMS4152, AMS4164, AMS4165, AMS-QQ-A-200/3","Extruded bar, rod, and shapes","T3, T3510, T3511","1.500-2.999"" Xsection >25-<=32",S,68,53, ,48,36, ,45,39, ,33, , ,86, , ,108, , ,59, , ,71, , ,,8,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T3, T3510, T3511 1.500-2.999"" Xsection >25-<=32"
396,2024 Aluminum Alloy Extrusion,"AMS4152, AMS4164, AMS4165, AMS-QQ-A-200/3","Extruded bar, rod, and shapes","T3, T3510, T3511","3.000-4.499"" Xsection >25-<=32",S,68,52, ,48,36, ,45,38, ,32, , ,84, , ,106, , ,57, , ,69, , ,,8,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T3, T3510, T3511 3.000-4.499"" Xsection >25-<=32"
397,2024 Aluminum Alloy Extrusion,QQ-A-200/3,"Extruded bar, rod, and shapes","T81, T8510, T8511",".050-.249""",S,64,64, ,56,55, ,57,57, ,35, , ,94, , ,123, , ,79, , ,93, , ,,4,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T81, T8510, T8511 .050-.249"""
398,2024 Aluminum Alloy Extrusion,QQ-A-200/3,"Extruded bar, rod, and shapes","T81, T8510, T8511",".250-1.499""",S,66,64, ,58,57, ,59,59, ,36, , ,96, , ,123, , ,82, , ,96, , ,,5,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T81, T8510, T8511 .250-1.499"""
399,2024 Aluminum Alloy Extrusion,QQ-A-200/3,"Extruded bar, rod, and shapes","T81, T8510, T8511","1.500-4.500""",S,66,61, ,58,57, ,59,59, ,36, , ,92, , ,117, , ,82, , ,96, , ,,5,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j1),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T81, T8510, T8511 1.500-4.500"""
400,2024 Aluminum Alloy Extrusion,QQ-A-200/3,"Extruded bar, rod, and shapes",T42,"<=.249""",S,57,55, ,38,36, ,38,39, ,29, , ,81, , ,99, , ,56, , ,69, , ,,12,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T42 <=.249"""
401,2024 Aluminum Alloy Extrusion,QQ-A-200/3,"Extruded bar, rod, and shapes",T42,".250-.499""",S,57,54, ,38,35, ,38,38, ,29, , ,80, , ,98, , ,55, , ,67, , ,,12,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T42 .250-.499"""
402,2024 Aluminum Alloy Extrusion,QQ-A-200/3,"Extruded bar, rod, and shapes",T42,".500-.749""",S,57,52, ,38,34, ,38,37, ,29, , ,79, , ,97, , ,53, , ,65, , ,,12,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T42 .500-.749"""
403,2024 Aluminum Alloy Extrusion,QQ-A-200/3,"Extruded bar, rod, and shapes",T42,".750-.999""",S,57,51, ,38,33, ,38,36, ,29, , ,77, , ,95, , ,51, , ,63, , ,,10,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T42 .750-.999"""
404,2024 Aluminum Alloy Extrusion,QQ-A-200/3,"Extruded bar, rod, and shapes",T42,"1.000-1.249""",S,57,49, ,38,32, ,38,35, ,29, , ,75, , ,93, , ,49, , ,61, , ,,10,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T42 1.000-1.249"""
405,2024 Aluminum Alloy Extrusion,QQ-A-200/3,"Extruded bar, rod, and shapes",T42,"1.250-1.499""",S,57,47, ,38,31, ,38,34, ,29, , ,74, , ,91, , ,47, , ,59, , ,,10,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T42 1.250-1.499"""
406,2024 Aluminum Alloy Extrusion,QQ-A-200/3,"Extruded bar, rod, and shapes",T42,"1.500-1.749""",S,57,45, ,38,30, ,38,33, ,28, , ,71, , ,89, , ,44, , ,56, , ,,10,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T42 1.500-1.749"""
407,2024 Aluminum Alloy Extrusion,QQ-A-200/3,"Extruded bar, rod, and shapes",T42,"1.750-1.999""",S,57,43, ,38,29, ,38,31, ,27, , ,69, , ,86, , ,41, , ,53, , ,,10,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T42 1.750-1.999"""
408,2024 Aluminum Alloy Extrusion,QQ-A-200/3,"Extruded bar, rod, and shapes",T42,"2.000-2.249""",S,57,41, ,38,28, ,38,30, ,26, , ,67, , ,83, , ,39, , ,50, , ,,10,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T42 2.000-2.249"""
409,2024 Aluminum Alloy Extrusion,QQ-A-200/3,"Extruded bar, rod, and shapes",T42,"2.250-2.499""",S,57,39, ,38,27, ,38,29, ,24, , ,64, , ,81, , ,36, , ,47, , ,,10,,10.8, , , , , ,11, , , , , ,4.1,0.33,0.101,MMPDS-02,3.2.3.0 j2),2000 Series Wrought Aluminum Alloy,"2024 Aluminum Alloy Extrusion T42 2.250-2.499"""
410,2027-T351 Plate,AMS4213,Plate,T351,0.500-1.500,A,68,67, ,52,46, ,42,47, ,46,45, ,101,104, ,126,130, ,69,73, ,82,86, ,14,14, ,10.6, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-04,3.2.7.0b),2000 Series Wrought Aluminum Alloy,2027-T351 Plate T351 0.500-1.500
411,2027-T351 Plate,AMS4213,Plate,T351,0.500-1.500,B,70,68, ,54,48, ,44,49, ,46,45, ,102,106, ,128,132, ,72,77, ,86,90, , , , ,10.6, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-04,3.2.7.0b),2000 Series Wrought Aluminum Alloy,2027-T351 Plate T351 0.500-1.500
412,2027-T351 Plate,AMS4213,Plate,T351,1.501-2.250,A,65,65,60,49,44,40,40,45, ,44,43, ,98,101, ,123,126, ,66,70, ,79,82, ,14,14,4,10.6, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-04,3.2.7.0b),2000 Series Wrought Aluminum Alloy,2027-T351 Plate T351 1.501-2.250
413,2027-T351 Plate,AMS4213,Plate,T351,1.501-2.250,B,67,67,63,51,46,42,42,47, ,46,45, ,101,104, ,126,130, ,69,73, ,82,86, , , , ,10.6, , , , , ,10.7, , , , , ,4,0.33,0.101,MMPDS-04,3.2.7.0b),2000 Series Wrought Aluminum Alloy,2027-T351 Plate T351 1.501-2.250
414,2027-T3511 Extrusion,AMS4183,Plate,T3511,0.750-1.500,A,75,67, ,57,48, ,48,51, ,38,36, , ,100, , ,126, , ,71, , ,86, ,14,9, ,10.5, , , , , ,10.7, , , , , ,4,0.33,0.1,MMPDS-04,3.2.7.0c),2000 Series Wrought Aluminum Alloy,2027-T3511 Extrusion T3511 0.750-1.500
415,2027-T3511 Extrusion,AMS4183,Plate,T3511,0.750-1.500,B,77,70, ,58,50, ,49,52, ,39,37, , ,103, , ,130, , ,73, , ,87, , , , ,10.5, , , , , ,10.7, , , , , ,4,0.33,0.1,MMPDS-04,3.2.7.0c),2000 Series Wrought Aluminum Alloy,2027-T3511 Extrusion T3511 0.750-1.500
416,2050 T84 Plate,AMS4413,Plate,T84,0.500-1.500,A,73,73,73,69,67,65,70,69, ,41,41, ,101,109, ,135,146, ,86,90, ,101,104, ,9,7, ,10.9,10.9,10.5, , , ,11.3,11.3,11.3, , , ,4.1,0.33,0.098,MMPDS-04 CN-1,3.2.X.0b),2000 Series Wrought Aluminum Alloy,2050 T84 Plate T84 0.500-1.500
417,2050 T84 Plate,AMS4413,Plate,T84,0.500-1.500,B,75,75,75,71,71,66,74,74, ,42,42, ,104,112, ,139,150, ,91,96, ,107,110, , , , ,10.9,10.9,10.5, , , ,11.3,11.3,11.3, , , ,3.9,0.33,0.102,MMPDS-04 CN-1,3.2.X.0b),2000 Series Wrought Aluminum Alloy,2050 T84 Plate T84 0.500-1.500
